Fiscal Year,Requirement Description,Office Symbol,N=New R= Recompete,NAICS Code,Extent of Competition,Estimated Value,Incumbent Contractor,Length of Performance,Target Award Fiscal Year Quarter,Place of Performance if Outside US,Point of Contact Name,Point of Contact Email Address,Item Type,Path
FY 15,Administrative and General Managemet Services,DS/MGT/CAP,R,541611 - Administrative Management and General Management Consulting Services,8(a) Competitive,>$50M and <$100M,ALUTIIQ,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,William J. Black,BlackWJ@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Adminstrative and General Management Services,DS/MGT/CAP,R,541611 - Administrative Management and General Management Consulting Services,8(a) Competitive,>$50M and <$100M,Alutiiq,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),Multiple,William J. Black,BlackWJ@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Administrative and General management Service,DS/MGT/CAP,R,541611 - Administrative Management and General Management Consulting Services,8(a) Competitive,>$50M and <$100M,All Native,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,William J.  Black,BlackWJ@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Adminstrative and General Management Services,DS/MGT/CAP,R,541611 - Administrative Management and General Management Consulting Services,8(a) Competitive,>$50M and <$100M,All Native,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,William J. Black,BlackWJ@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Administrative and General Management Services,DS/MGT/CAP  for DS/DO/DFP,R,541611 - Administrative Management and General Management Consulting Services,8(a) Competitive,>$50M and <$100M,Olgoonik,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,William J. Black,BlackWJ@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Overseas Facility and Management Operations,DS/MGT/CAP for DS/T/ATA,R,561210 - Facilities Support Services,8(a) Competitive,>$20M and <$50M,Olgoonik Management Services,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),Various countries,William J. Black,BlackWJ@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Professional, Administrative, and Management Support Services",DS/MGT/CAP for DS/C/ST,R,541511 - Custom Computer Programming Services,Set Aside,>$10M and <$20M,Boeing,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,William J. Black,BlackWJ@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,HR Support Services,ECA/EX/HR,R,541612 - Human Resources Consulting Services,8(a) Sole Source,>$1M and <$5M,Adeline,Base + 2 Option Periods (3yrs),Quarter 3 (Apr-Jun),N/A,Renee Brown,brownrx2@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,National Law Center for International Free Trade,L/PIL,R,541199 - All Other Legal Services,8(a) Sole Source,>$500K and <$1M,National Law Center,Base Option Period (1yr),Quarter 4 (Jul-Sep),N/A,Michael S. Coffee,CoffeeMS@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Third party monitoring and evaluation services for the Global Security Contingency Fund program and project activities.,PM/SA,N,921190 - Other General Government Support,TBD,>$1M and <$5M,Dexis Consulting Group,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Rachel Carter,carterr@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Monitoring and Evaluation Program Staffing,PM/SA,N,541611 - Administrative Management and General Management Consulting Services,TBD,>$500K and <$1M,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Todd Gobeille,gobeilletr@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Country-specific Security Assistance Evaluation,PM/SA,N,541611 - Administrative Management and General Management Consulting Services,TBD,>$500K and <$1M,N/A,Less than 12 Months,Quarter 3 (Apr-Jun),N/A,Todd Gobeille,gobeilletr@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Website Development and Support,ECA-PASC,R,"541990 - All Other Professional, Scientific, and Technical Services",8(a) Sole Source,>$1M and <$5M,3 Links Technology,Base + 2 Option Periods (3yrs),Quarter 3 (Apr-Jun),N/A,Michelle Neyland,neylandme@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Staffing and Support Services,EAP/EX,R,"541990 - All Other Professional, Scientific, and Technical Services",Competitive - Full and Open,>$500K and <$1M,"XL Associates, Inc.",Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Joseph Wade,WadeJW@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Leahy Vetter,EAP/EX,N,"541990 - All Other Professional, Scientific, and Technical Services",Competitive - Full and Open,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Joseph Wade,WadeJW@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Staffing and Support Services,EAP/EX,R,"541990 - All Other Professional, Scientific, and Technical Services",Competitive - Full and Open,>$500K and <$1M,ATSG,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Joseph Wade,WadeJW@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Graphic Design Services,CGFS/DCFO,R,541430 - Graphic Design Services,Competitive - Full and Open,>$500K and <$1M,The DesignPond,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Robert Mcdonald,macdonaldrt@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,The Office of the Legal Adviser (L) needs to procure a case management system to manage the increasing amount of litigation and non-litigation cases that the various offices within L.,L/EX,N,921110 - Executive Offices,TBD,>$150K and <$500K,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun),N/A,"Ronald D. Corbin, Jr.",corbinrdj@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Planning & Performance System Maintenance & Enhancements,BP/RPBI,R,541513 - Computer Facilities Management Services,Competitive - Full and Open,>$1M and <$5M,"Booz Allen Hamilton, Inc.",Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Ann Marie Tinnie,tinniea@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,conference support services,EAP/EX,N,561990 - All Other Support Services,TBD,>$150K and <$500K,N/A,Less than 12 Months,Quarter 2 (Jan-Mar),N/A,Joseph Wade,WadeJW@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Program Management and Analysis Services,CGFS/DCFO/GFMS,R,541611 - Administrative Management and General Management Consulting Services,Competitive - Full and Open,>$5M and <$10M,"Indigo Technology, Inc.",Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Dawn Parrish,parrishd2@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Compensation and Financial Systems IV&V and Analysis Services,CGFS/DCFO/GFMS,R,541519 - Other Computer Related Services,Competitive - Full and Open,>$100M and <$500M,The Mil Corp,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Dawn Parrish,parrishd2@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Software Development, Modernization & Enhancement",CGFS/DCFO/GFMS,R,541519 - Other Computer Related Services,Competitive - Full and Open,>$5M and <$10M,"Geneva Software, Inc.",Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Dawn Parrish,parrishd2@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Senior Project Coordinator,WHA/EX/ADM,N,541611 - Administrative Management and General Management Consulting Services,Women Owned Small Business Competed,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Guy R. Mitchell,MitchellGR@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Subject Matter Expert Services,CGFS/ICASS,R,541620 - Environmental Consulting Services,Competitive - Full and Open,>$1M and <$5M,"Harlan Lee & Associates, LLC",Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Peter Hogan,hoganpa@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
