"GSA
Organization",Region,Award Status,Product or Service Description,"Place of Performance
(City)","Place of Performance
(State)",Primary NAICS Code,Socioeconomic Category,Contract Type,Procurement Method,Competition Strategy,From (Min),To (Max),Delivery Order Value,"Incumbent Contractor Name
(if applicable)","Contract/Order Number
(if applicable)","New Requirement
or Exercise of Option or Recompete",Funding Agency/Office,Estimated Solicitation Date,"Link to Solicitation in FedBizOpps
(if available)","Estimated Award Fiscal Year
and Quarter","Point of Contact
(Name)","Point of Contact
(Email Address)",OSBU Small Business Technical Advisor (SBTA),Additional Information
FAS-Federal Acquisition Service,R1-New England Region,Drafting Solicitation,Elevator Maintenance Services,Boston,MA,238290,Other Than Small,Firm Fixed Price,Order under GSA Schedules Program,Competitive Schedule Buy,2000000,2500000,N/A,N/A,N/A,New Requirement,GSA funded-PBS,2015-11-15,N/A,FY 2016-2nd Quarter,Ryan Colgan,ryan.colgan@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Elevator Maintenance Services,North Service Center,"VT, NH, ME",238290,To Be Determined,Firm Fixed Price,Order under GSA Schedules Program,,0,0,N/A,N/A,N/A,New Requirement,GSA funded-PBS,2016-02-01,N/A,FY 2016-2nd Quarter,Ryan Colgan,ryan.colgan@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,,Janitorial and Mechanical Maintenance Services,Western Massachusetts Region,MA,561210,Small Business,Firm Fixed Price,Commercial Item Contract,Set-Aside,4022152.27,4022152.27,N/A,N/A,N/A,New Requirement,GSA funded-PBS,2015-11-16,N/A,FY 2016-2nd Quarter,Kara Canty,kara.canty@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Janitorial Services,Fitchburg,MA,561720,AbilityOne,Firm Fixed Price,Ability One,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",1500000,1500000,N/A,"Morgan Memorial Goodwill Industries, Inc.",N/A,Recompete,GSA funded-PBS,2016-05-01,N/A,FY 2016-4th Quarter,Ryan Colgan,ryan.colgan@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Reroof Philbin FB,Fitchburg,MA,238160,To Be Determined,FFP,IDIQ,,1000000,1500000,,,,To Be Determined,To Be Determined,,,FY 2016-Quarter To Be Determined,,,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Lee Couthouse Chambers,New Haven,CT,236220,To Be Determined,FFP,8a,,0,0,,,,To Be Determined,To Be Determined,,,FY 2016-Quarter To Be Determined,,,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
FAS-Federal Acquisition Service,R1-New England Region,Solicitation Issued,Scanning and Digitization Project,Boston,MA,518210,Service Disabled Veteran-owned Small Business,FFP,Order under GSA Federal Supply Schedules Program,Competitive Set Aside,0,0,335000,N/A,N/A,New Requirement,GSA funded-PBS,2015-11-10,Solicitation on Ebuy,FY 2016-2nd Quarter,Carlene Polynice,carlene.polynice@gsa.gov ,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Drafting Solicitation,"U.S. Land Port of Entry, Derby Line, Vermont New Construction - Commissioning Agent",Derby Line,VT,"541310, 541330, 541618",Small Business,FFP,Negotiated,Set-Aside,270000,330000,TBD,NA,NA,New Requirement,GSA funded-PBS,2016-01-20,NA,FY 2016-3rd Quarter,Alexandria Kelly,alexandria.kelly@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Mechanical Maintenance at the Burlington Federal Building,Burlington,VT,238220,Small Business,Firm Fixed Price,Commercial Item Contract,Competed under SAP,0,0,TBD,XL Mechanical,GS-01P-09-BW-D-0039,Recompete,GSA funded,2016-05-01,NA,FY 2016-4th Quarter,Robert Budlong,robert.budlong@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Snow Removal Services at the Muskie Federal Building,Augusta,ME,561790,Small Business,Firm Fixed Price,Commercial Item Contract,Competed under SAP,0,0,TBD,Goodall Landscaping,GS-01P-13-BW-D-0029,Recompete,GSA funded,2016-05-01,NA,FY 2016-4th Quarter,Robert Budlong,robert.budlong@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
