Afghanistan,Sarah Acio,Anti-Corruption (AMANAT),Anti-Corruption (AMANAT) AMANAT will identify opportunities to support the government?s anti-corruption planning and implementation of strategic initiatives that combat corruption in the Government of National Unity. Civil society partners will concentrate on pro-reform agenda activities focused on combating corruption and thus strengthening good governance and the democratic institutions responsible for it. The new project will consist of two components. Component 1 will provide strategic guidance on anti-corruption planning and establish a rapid response fund that will make quick impact grants available to government entities to implement pro-reform activities. Component 2 will provide grants to civil society organizations to demand side of anti-corruption reforms and accountability.,"Democracy, Human Rights, and Governance",541990,$25M - $49.99M,N/A,Contract,N/A,2017,2017-01-26,2016-06-15,5 years,SOL-306-16-000037,Combination of Changes,,,,,,,,,,,,
Afghanistan,Maria Elena Burgos,OED Capacity Building in the Ministry of Education,"OED Capacity Building in the Ministry of Education The overall objective of this project is to improve governance and accountability in the education sector in Afghanistan. The expected outcome is improved systems and accountability, which result in higher quality of public service provision by the MoE.",Education,611710,$10M - $24.99M,N/A,Contract,N/A,2016,2017-01-01,2016-06-23,5 years,,,,,,,,,,,,,,
Afghanistan,Assefa Abebe,Afghanistan Financial Sector Development Project (AFSD),"Afghanistan Financial Sector Development Project (AFSD): AFSD increases financial inclusion and expands access to finance in Afghanistan by supporting the development of favorable, supportive and conducive enabling environment and by promoting innovative and inclusive solutions in the financial sector.",Economic Growth and Trade,541990,$25M - $49.99M,N/A,Contract,N/A,2016,2017-01-07,2016-07-20,5 years,,Combination of Changes,,,,,,,,,,,,
Afghanistan,Mohammad Tariq Achakzai,Monitoring Support Project (MSP) Task Order 4 Component 2,"Monitoring Support Project (MSP) Task Order 4 Component 2 To develop a web-based platform that will serve as a platform for comprehensive collation, review and analysis of data obtained from Component 1 activities",Management,518210,$10M - $24.99M,N/A,Task Order/Delivery Order (TO/DO),Total set-aside,2016,2016-11-29,2016-07-25,5 years,,Combination of Changes,,,,,,,,,,,,
Afghanistan,Margaret Rukwaro,Afghanistan Business Environment Reform Project (ABER),This program will support the Government of Afghanistan's efforts to create a business environment that stimulates both the private sector investment and job creation.,Economic Growth and Trade,541990,$10M - $24.99M,N/A,Task Order/Delivery Order (TO/DO),N/A,2016,2016-09-15,2016-07-31,4 years,,,,,,,,,,,,,,
Afghanistan,Sher Shah Suri,Capacity Building for Ministry of Public Work (MOPW),Capacity Building for Ministry of Public Work (MOPW),Economic Growth and Trade,541990,$25M - $49.99M,N/A,Contract,N/A,2017,2017-06-07,2016-08-01,,,Combination of Changes,,,,,,,,,,,,
Afghanistan,Wagma Orya,Road Sustainability and Support Program - Emergency O&M,"Emergency O&M (RSSP-I) Activity Description:This off-budget project provides a response to crisis situations such as avalanches, landslides and other structural failures that can lead to road closures through critical stretches of highway in Afghanistan",Economic Growth and Trade,,$4M - $9.99M,N/A,Contract,N/A,2017,2016-11-01,2016-08-15,,,,,,,,,,,,,,,
Afghanistan,Sher Shah Suri,TBD - DABS PAC II (Da Afghanistan Breshna Sherkat Public Awareness Campaign II),"Public awareness campaign in support of, and capacity building of, Afghan utility company DABS to ensure the successful completion and sustainability of energy construction and commercialization activities",Economic Growth and Trade,541820,$4M - $9.99M,N/A,Contract,N/A,2017,2017-04-30,2016-09-30,2 years,,New Opportunity Not Previously Forecasted,,,,,,,,,,,,
Afghanistan,Wali Achakzai,TBD - Energy & Natural Resources Development Support,Provide technical assistance and capacity building support for energy and natural resources development,Economic Growth and Trade,541990,$10M - $24.99M,N/A,Indefinite Delivery Indefinite Quantity Contract (IDIQ),N/A,2017,2017-04-30,2016-10-01,3 years,,Combination of Changes,,,,,,,,,,,,
Afghanistan,TBD,Afghanistan Trade and Revenue Initiative (ATARI),"Build capacity of GoA to adequately implement a liberal policy framework for trade and investment in accordance with international standards, enhance its integration in the regional and world economy through the promotion of trade and transit agreements, improve economic corridor governance, and strengthen private sector linkages throughout South and Central Asia.",Economic Growth and Trade,541990,$50M - $74.99M,N/A,Contract,N/A,2017,2017-11-03,2016-11-20,5 years,TBD,,,,,,,,,,,,,
Afghanistan,TBD,Regional Women's Dormitories,To build 2-3 women's dormitories on local Afghan universities. The criteria for university selection has not been finalized.,Gender Equality and Women's Empowerment,236220,$4M - $9.99M,N/A,Contract,N/A,2017,2017-06-20,2017-01-19,2 years,,Combination of Changes,,,,,,,,,,,,
Albania,Ketrina Janaqi,Tourism as a Leading Edge,"APS: Tourism development in Albania, in collaboration witt SIDA and private sector.",Economic Growth and Trade,,$4M - $9.99M,N/A,Grant,N/A,2016,2016-12-31,2015-10-06,3 years,APS-182-16-000001,Change in Award Date,,,,,,,,,,,,
Albania,Albert Rexhepi,Accelerated Civic Development and Cooperation project in Albania,"The project?s goal, is to support and strengthen the capacities of civil society organizations (CSOs), government bodies, and private sector entities in Albania.","Democracy, Human Rights, and Governance",,$1M - $3.99M,N/A,Contract,N/A,2016,2016-09-30,2016-05-03,3 years,SOL-182-16-000002,Combination of Changes,,,,,,,,,,,,
Albania,Albert Rexhepi,Transparency in Healthcare Engagement,The proposed project will focus on corruption in the health sector and will encourage the cooperation of selected independent government institutions with civil society organizations and media to urge for more responsible governance in health leading to improved health services for Albanian citizens.,"Democracy, Human Rights, and Governance",,$1M - $3.99M,N/A,Contract,N/A,2017,2017-01-30,2016-08-15,2 years,,Combination of Changes,,,,,,,,,,,,
Angola,Fatima dos Santos,Health for All,"New Supervision and Capacity Building Malaria, HIV/AIDS, and Family Planning Activity",Global Health,,$25M - $49.99M,N/A,Cooperative Agreement,N/A,2016,2016-10-31,2016-07-29,5 years,,,,,,,,,,,,,,
Armenia,Armen Yeghiazarian,Purchase of Maternal and Child Health Equipment,Purchase of medical equipment and consumables to support USAID Maternal and Child Health Initiative with the Ministry of Health of the Republic of Armenia,Global Health,423450,"$150,000 - $499,999",N/A,Contract,N/A,2016,2016-09-30,2016-08-10,4-6 months,,,,,,,,,,,,,,
Bangladesh,Fatema Resalat,Social and Behavioral Change Communication (SBCC) Activity.,"The U.S. Agency for International Development (USAID)/ Bangladesh intends to award a five-year cooperative agreement of up to $10 million. The purpose of the award is to generate demand for and increase use of high quality maternal, neonatal, child and adolescent health (MNCAH), family planning (FP), nutrition, and tuberculosis (TB) services in Bangladesh through the use of social and behavior change communication (SBCC). This SBCC Activity is comprised of two objectives: 1. Increase exposure to and coverage of information on healthy behaviors, services, and health products. 2. Strengthen the Government of Bangladesh Ministry of Health and Family Welfare?s (MoHFW) ability to plan, develop, implement and evaluate effective social and behavior change communication.",Global Health,,$10M - $24.99M,N/A,Cooperative Agreement,N/A,2017,2016-11-30,2016-06-19,5 years,RFA-388-16-000006,Combination of Changes,,,,,,,,,,,,
Bangladesh,Tariq Bin Azam,Strengthening Multisectoral Nutrition Programming through Implementation Science Activity,"Primary specific objectives include: ? Strengthened nutrition leadership at the national and subnational level for improved multisectoral nutrition service delivery and coordination for accelerated progress in addressing both over and under nutrition. ? Test and demonstrate effective, affordable multisectoral nutrition models, targeting the first 1,000 days. Secondary specific objectives within research sites include: ? Increased access for individuals/households to affordable nutritious food, clean water, sanitation, healthcare and social protection; ? Increased adoption of practices that contribute to good nutrition such as increased consumption of diverse, nutrient dense foods, and exclusive breastfeeding in the first six months of life.",Global Health,,$10M - $24.99M,N/A,Cooperative Agreement,N/A,2017,2016-12-01,2016-06-26,5 years,RFA-388-16-000007,Combination of Changes,,,,,,,,,,,,
