agency,estimated_fiscal_year,description,office,naics,socioeconomic,award-amount,estimated_fiscal_year_quarter,place_of_performance_state
state,FY 19,Professional Human Resource Services,CSO/EX,541612,Women Owned Small Business Competed,>$5M and <$10M,Quarter 4 (Jul-Sep),N/A
state,FY 17,"Professional, Technical, and Administrative Program",CSO/EX,561110,8(a) Competitive,>$1M and <$5M,Quarter 4 (Jul-Sep),N/A
state,FY 18,"Professional, Technical, and Aministrative Program",CSO/EX,561110,Service Disabled Veteran Owned Small Business Competed,>$1M and <$5M,Quarter 2 (Jan-Mar),N/A
state,FY 17,Professional Employee Support Services,CSO/EX,541618,Service Disabled Veteran Owned Small Business Competed,>$10M and <$20M,Quarter 1 (Oct-Dec),N/A
state,FY 18,Professional Employee Support Services,CSO/EX,541618,Service Disabled Veteran Owned Small Business Sole Source,>$10M and <$20M,Quarter 4 (Jul-Sep),N/A
state,FY 16,"Professional, Technical, and Administrative Program",CSO/EX,541720,TBD,>$150K and <$500K,Quarter 1 (Oct-Dec),Multiple
state,FY 16,"Professional, Technical, and Administrative Program",CSO/EX,541720,TBD,>$150K and <$500K,Quarter 1 (Oct-Dec),Multiple
state,FY 16,"Professional, Technical, and Administrative Program",CSO/EX,541720,TBD,(Pick One),Quarter 3 (Apr-Jun),Multiple
state,FY 16,"Professional, Technical, and Administrative Program",CSO/EX,541720,TBD,>$150K and <$500K,Quarter 4 (Jul-Sep),Multiple
state,FY 16,Replace Fire Protection System,OBO/OPS/FIR,922160,Not Competed _ Other Than Small Business,>$500K and <$1M,Quarter 2 (Jan-Mar),Kuwait
state,FY 16,Replace Fire Protection System,OBO/OPS/FIR,922160,Not Competed _ Other Than Small Business,>$1M and <$5M,Quarter 3 (Apr-Jun),Saudi Arabia
state,FY 16,Replace Fire Protection System,OBO/OPS/FIR,922160,Not Competed _ Other Than Small Business,>$1M and <$5M,Quarter 3 (Apr-Jun),Venezuela
state,FY 16,Replace Fire Protection System,OBO/OPS/FIR,922160,Not Competed _ Other Than Small Business,>$150K and <$500K,Quarter 4 (Jul-Sep),Morocco
state,FY 16,Replace Fire Pump System,OBO/OPS/FIR,922160,Not Competed _ Other Than Small Business,>$500K and <$1M,Quarter 4 (Jul-Sep),Cameroon
state,FY 16,Fire Extinguisher Contract ,OBO/OPS/FIR,922160,TBD,>$5M and <$10M,Quarter 1 (Oct-Dec),N/A
state,FY 16,NLCIFT has the ability to provide the needed assistance based on L/PIL_s SOW ,L/PIL,541199,8(a) Sole Source,>$500K and <$1M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Abacus Contractor provides systems application design and development to support the Department_s International Litigation function,L/CID,541199,Sole Source,>$10M and <$20M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Semi-annual Report Publication,OIG,561410,Set Aside,>$500K and <$1M,Quarter 1 (Oct-Dec),N/A
state,FY 16,Networking and Security Services,OIG,541511,TBD,>$1M and <$5M,Quarter 2 (Jan-Mar),N/A
state,FY 16,System Assessment and Authorization,OIG,541511,TBD,(Pick One),Quarter 2 (Jan-Mar);#Quarter 1 (Oct-Dec),N/A
state,FY 16,Enterprise Licensing Agreement,OIG,541519,TBD,>$500K and <$1M,Quarter 1 (Oct-Dec),N/A
state,FY 16,Management Analyst IV,OIG,541611,Set Aside,>$500K and <$1M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Buchanan & Edwards Software PuplishersSharePoint Developers,NEA-SCA,511210,Set Aside,>$1M and <$5M,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),N/A
state,FY 16,Applied Engeneering Management Corporation,NEA-SCA,511210,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),N/A
state,FY 16,OBXTek Professional Management & Administration Support Services,NEA-SCA,541618,Set Aside,>$5M and <$10M,Quarter 1 (Oct-Dec);#Quarter 4 (Jul-Sep);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun),World Wide
state,FY 16,CSTI Professional Management & Administrative Services,NEA-SCA,541618,Set Aside,>$5M and <$10M,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),World Wide
state,FY 16,ARRAY Professional Management & Administrative Support Services,NEA-SCA,541618,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun);#Quarter 2 (Jan-Mar);#Quarter 1 (Oct-Dec);#Quarter 4 (Jul-Sep),N/A
state,FY 16,E-Science and Technology Solutions Inc.,NEA-SCA,541611,Set Aside,>$1M and <$5M,Quarter 1 (Oct-Dec);#Quarter 4 (Jul-Sep);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun),World Wide
state,FY 16,Aliss Life Support Services-Afghanistan,NEA-SCA,541618,Competitive - Full and Open,>$10M and <$20M,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),World Wide
state,FY 16,Technatomy Corp,NEA-SCA,517919,Set Aside,>$500K and <$1M,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),N/A
