agency,office,description,naics,contract_type,competition_strategy,award_amount_range,place_of_performance_city,place_of_performance_state,estimated_fiscal_year,estimated_fiscal_year_quarter
ed,ED-NABG-NAGB,"Focused Reports. The Governing Board seeks to harness National Assessment of Educational Progress (NAEP's) unique capacity as a nationally representative survey of academic achievement to produce high-impact special reports on critical educational issues and practices. These reports also will highlight the potential for rich analysis of NAEP data, including contextual variables. This program of reports will be supported through a nimble contract that will provide concise reports and online presentation to expedite dissemination. ",541611,Definitive Contract,Full and Open, >= $500K and <$1M ,TBD,TBD,2016,Q1
ed,ED-CAM-OELA,English Learners in Preschool - Early childhood education can play an essential role in preparing young English language learners (ELs) for later success in school. This case study will examine the characteristics of preschool programs that address the needs of ELs.,541611,DEFINITIVE CONTRACT,Small Business Set Aside - Total, >   $150K and <$500K ,TBD,TBD,2016,Q2
ed,ED-CAM-OESE,"Summer Learning Contract - to enlist subject matter experts with specialized knowledge and experience in the design of youth educational and engagement programming to serve as facilitator, coach and/or trainers so that the leadership, planning skills, and collaboration acumen are invested in community members.  TA providers will work with sub-grantees that received grants from their respective States to provide summer learning programs.",541611,DEFINITIVE CONTRACT,Small Business Set Aside - Total, >= $1M and <$2M ,TBD,TBD,2016,Q2
ed,ED-CAM-OCTAE,"Moving toward Next Generation Assessments for Adult Education: This activity will enable Office of Career, Technical, and Adult Education (OCTAE) to create an assessment framework and strategic plan for an assessment challenge to improve the quality of assessments used for performance accountability reporting in adult education.",541611,DEFINITIVE CONTRACT,Full and Open , >= $1M and <$2M ,TBD,TBD,2016,Q2
ed,ED-CAM-OPE,International and Foreign Language (IFLE) Education Evaluation Project - Impact Study of National Resource Centers/Foreign Language and Area Studies,541611,DEFINITIVE CONTRACT,Small Business Set Aside - Total, >   $150K and <$500K ,TBD,TBD,2016,Q2
ed,ED-CAM-OPE,"Title II Data Collection for the Secretary's annual report to Congress and the public on the quality of U.S. Teachers preparation requirements of states initial teacher certification and licensure.  Title II, Section 205-209 of the HEA requires the 50 states and jurisdictions and the outlying areas to report annually to the Department. (base year  - new contract). FY15 AP Tracking Number is OPEP150005AP.",541611,DEFINITIVE CONTRACT,Full and Open , >= $2M and <$5M ,TBD,TBD,2016,Q2
ed,ED-CAM-OCTAE,"Planning Research and Evaluation of Adult Education and Literacy Activities: The new action will assist Office of Career, Technical, and Adult Education (OCTAE) in meeting new research and evaluation requirements in section 242 of the Workforce Innovation and Opportunity Act (WIOA).",541611,DEFINITIVE CONTRACT,8(A) Sole Source , >   $150K and <$500K ,TBD,TBD,2016,Q2
ed,ED-CAM-OPE,International and Foreign Language Education (IFLE) Communications Initiative,541611,FSS,Small Business Set Aside - Total, >   $150K and <$500K ,TBD,TBD,2016,Q2
ed,ED-CAM-OCTAE,Connecting English Language Learners with Career Pathways: this new action will provide technical assistance to state and local adult educators implementing new section 243 requirements of the Workforce Innovation and Opportunity Act (WIOA).,541611,FSS,Small Business Set Aside - Total, >= $2M and <$5M ,TBD,TBD,2016,Q2
ed,ED-CAM-OCTAE,The Literacy Information and Communications System (LINCS) Professional Development Center: This new action will support states' implementation of new Workforce Innovation and Opportunity Act (WIOA) requirements around professional development.,541611,FSS,Full and Open , >= $2M and <$5M ,TBD,TBD,2016,Q2
